A,B,C
74.0,31.0,
22.0,17.0,39.0
55.0,80.0,
21.0,32.0,53.0
57.0,29.0,
70.0,47.0,117.0
86.0,80.0,
86.0,61.0,147.0
37.0,98.0,
9.0,60.0,
96.0,75.0,
67.0,85.0,
53.0,84.0,
34.0,46.0,80.0
27.0,98.0,
11.0,81.0,
83.0,49.0,132.0
36.0,67.0,
12.0,8.0,20.0
85.0,70.0,
25.0,70.0,95.0
61.0,8.0,69.0
48.0,22.0,
72.0,78.0,150.0
83.0,34.0,117.0
1.0,56.0,57.0
89.0,70.0,159.0
47.0,65.0,
70.0,47.0,117.0
72.0,21.0,
13.0,31.0,
30.0,31.0,
11.0,35.0,46.0
51.0,23.0,
72.0,55.0,127.0
56.0,24.0,
18.0,47.0,65.0
91.0,1.0,92.0
75.0,36.0,111.0
80.0,49.0,129.0
78.0,79.0,
56.0,11.0,67.0
58.0,12.0,
83.0,89.0,172.0
3.0,92.0,95.0
77.0,28.0,
77.0,2.0,
23.0,70.0,
70.0,42.0,
60.0,4.0,
65.0,85.0,
26.0,56.0,
60.0,97.0,
38.0,2.0,
52.0,37.0,89.0
15.0,94.0,109.0
2.0,1.0,
53.0,83.0,
74.0,18.0,
55.0,88.0,143.0
92.0,49.0,
16.0,40.0,56.0
96.0,94.0,190.0
29.0,87.0,116.0
82.0,45.0,
91.0,35.0,
46.0,21.0,67.0
12.0,78.0,
54.0,12.0,66.0
45.0,7.0,52.0
74.0,41.0,115.0
60.0,19.0,
73.0,44.0,117.0
6.0,95.0,
82.0,94.0,
23.0,1.0,24.0
73.0,17.0,90.0
31.0,72.0,
22.0,94.0,
65.0,98.0,
59.0,19.0,78.0
31.0,92.0,
95.0,8.0,
11.0,2.0,
86.0,89.0,175.0
60.0,21.0,81.0
91.0,25.0,116.0
20.0,14.0,
78.0,12.0,
11.0,67.0,78.0
12.0,7.0,
69.0,21.0,
16.0,47.0,
33.0,64.0,97.0
97.0,10.0,
45.0,75.0,120.0
79.0,70.0,
66.0,55.0,121.0
52.0,80.0,
60.0,51.0,
59.0,48.0,107.0
97.0,71.0,
82.0,89.0,171.0
73.0,26.0,99.0
40.0,82.0,
75.0,100.0,175.0
70.0,48.0,118.0
71.0,70.0,
57.0,22.0,
83.0,18.0,101.0
47.0,73.0,120.0
27.0,85.0,112.0
60.0,28.0,88.0
53.0,96.0,
32.0,42.0,
65.0,73.0,138.0
5.0,75.0,80.0
82.0,52.0,
29.0,59.0,
24.0,77.0,101.0
43.0,6.0,
83.0,70.0,
43.0,63.0,106.0
93.0,86.0,179.0
6.0,31.0,37.0
77.0,68.0,
100.0,39.0,
53.0,57.0,
50.0,9.0,
30.0,84.0,114.0
29.0,82.0,
69.0,54.0,
7.0,16.0,
95.0,95.0,190.0
24.0,81.0,
29.0,4.0,
66.0,52.0,118.0
58.0,32.0,90.0
38.0,50.0,88.0
35.0,49.0,84.0
100.0,49.0,149.0
43.0,69.0,
14.0,4.0,
92.0,56.0,
86.0,41.0,
52.0,100.0,152.0
6.0,96.0,
85.0,1.0,86.0
48.0,64.0,
74.0,16.0,
0.0,76.0,76.0
89.0,11.0,100.0
75.0,1.0,76.0
45.0,84.0,129.0
4.0,58.0,
47.0,77.0,
100.0,16.0,
39.0,32.0,71.0
15.0,67.0,
49.0,42.0,91.0
21.0,47.0,68.0
13.0,62.0,
40.0,98.0,
89.0,31.0,120.0
6.0,4.0,
73.0,71.0,144.0
47.0,20.0,
63.0,100.0,163.0
26.0,51.0,77.0
12.0,34.0,46.0
53.0,62.0,115.0
19.0,24.0,
37.0,70.0,107.0
45.0,74.0,119.0
82.0,41.0,
67.0,7.0,74.0
88.0,53.0,
68.0,75.0,
95.0,72.0,
70.0,59.0,129.0
46.0,20.0,
38.0,49.0,87.0
59.0,43.0,
96.0,11.0,
16.0,96.0,112.0
19.0,85.0,104.0
45.0,73.0,118.0
78.0,73.0,151.0
19.0,3.0,22.0
44.0,2.0,
86.0,16.0,
23.0,85.0,108.0
77.0,98.0,175.0
97.0,42.0,
17.0,62.0,79.0
84.0,6.0,90.0
13.0,21.0,
23.0,6.0,
43.0,12.0,55.0
23.0,99.0,122.0
40.0,87.0,127.0
21.0,14.0,
3.0,6.0,
67.0,97.0,
24.0,64.0,88.0
23.0,54.0,77.0
61.0,47.0,108.0
57.0,84.0,
78.0,25.0,103.0
30.0,84.0,114.0
75.0,39.0,
15.0,53.0,68.0
19.0,26.0,
7.0,12.0,19.0
99.0,88.0,
17.0,64.0,
89.0,89.0,178.0
46.0,84.0,130.0
83.0,68.0,
82.0,3.0,
83.0,26.0,109.0
22.0,91.0,113.0
43.0,80.0,123.0
15.0,21.0,36.0
64.0,74.0,138.0
1.0,89.0,
69.0,65.0,134.0
62.0,13.0,
94.0,35.0,129.0
99.0,75.0,
49.0,29.0,
13.0,52.0,65.0
16.0,27.0,
86.0,49.0,
41.0,47.0,88.0
8.0,26.0,34.0
6.0,100.0,106.0
49.0,33.0,82.0
18.0,36.0,54.0
19.0,28.0,47.0
21.0,55.0,
73.0,50.0,123.0
100.0,41.0,141.0
69.0,39.0,
50.0,16.0,66.0
51.0,98.0,149.0
37.0,98.0,135.0
94.0,47.0,141.0
83.0,14.0,
5.0,66.0,
73.0,27.0,
42.0,17.0,59.0
73.0,0.0,
86.0,37.0,123.0
6.0,61.0,
46.0,56.0,
25.0,56.0,81.0
47.0,22.0,
3.0,28.0,
57.0,17.0,
44.0,54.0,98.0
10.0,3.0,13.0
5.0,83.0,88.0
1.0,17.0,
84.0,22.0,
56.0,9.0,65.0
55.0,59.0,114.0
95.0,1.0,
64.0,29.0,93.0
14.0,45.0,
43.0,55.0,
10.0,95.0,105.0
75.0,28.0,103.0
12.0,23.0,35.0
55.0,16.0,
95.0,46.0,
74.0,26.0,100.0
18.0,7.0,
59.0,97.0,
48.0,9.0,
93.0,90.0,183.0
28.0,21.0,49.0
94.0,92.0,186.0
40.0,33.0,
10.0,96.0,
75.0,38.0,113.0
46.0,25.0,71.0
2.0,41.0,43.0
38.0,11.0,
65.0,63.0,
0.0,38.0,
33.0,68.0,101.0
100.0,3.0,
20.0,32.0,52.0
11.0,52.0,
16.0,71.0,87.0
25.0,6.0,
55.0,14.0,
79.0,98.0,177.0
81.0,35.0,116.0
64.0,57.0,121.0
34.0,46.0,80.0
97.0,72.0,
77.0,51.0,128.0
98.0,79.0,
40.0,20.0,
91.0,48.0,139.0
48.0,95.0,
20.0,22.0,
99.0,85.0,184.0
48.0,48.0,
81.0,92.0,
62.0,89.0,151.0
64.0,72.0,136.0
8.0,50.0,58.0
98.0,97.0,
85.0,28.0,
92.0,65.0,157.0
88.0,48.0,136.0
82.0,65.0,
71.0,63.0,134.0
86.0,71.0,
62.0,45.0,107.0
45.0,0.0,
96.0,15.0,111.0
48.0,80.0,128.0
24.0,1.0,25.0
87.0,43.0,
87.0,95.0,
80.0,97.0,
65.0,54.0,
22.0,20.0,42.0
95.0,40.0,135.0
40.0,15.0,55.0
20.0,97.0,117.0
26.0,6.0,
96.0,98.0,194.0
84.0,87.0,
68.0,53.0,121.0
94.0,46.0,
55.0,1.0,
60.0,80.0,
69.0,98.0,
73.0,36.0,109.0
72.0,58.0,
62.0,12.0,
28.0,82.0,
87.0,53.0,
60.0,48.0,
45.0,1.0,46.0
53.0,49.0,102.0
23.0,36.0,
86.0,63.0,
79.0,42.0,121.0
14.0,27.0,41.0
87.0,99.0,186.0
19.0,39.0,
72.0,82.0,154.0
40.0,94.0,
8.0,95.0,
83.0,90.0,
3.0,4.0,7.0
8.0,34.0,
60.0,89.0,
91.0,53.0,
97.0,1.0,98.0
75.0,51.0,126.0
22.0,43.0,
64.0,72.0,
71.0,31.0,102.0
36.0,68.0,104.0
52.0,66.0,118.0
100.0,10.0,
54.0,40.0,94.0
28.0,14.0,42.0
76.0,6.0,
64.0,59.0,
30.0,86.0,116.0
28.0,7.0,35.0
39.0,9.0,
35.0,12.0,47.0
29.0,62.0,
3.0,2.0,5.0
70.0,47.0,117.0
34.0,66.0,
3.0,17.0,
71.0,36.0,107.0
57.0,47.0,104.0
73.0,39.0,
95.0,22.0,117.0
52.0,18.0,
62.0,3.0,
40.0,20.0,
67.0,37.0,104.0
78.0,26.0,
86.0,36.0,
20.0,90.0,110.0
6.0,75.0,
86.0,14.0,
20.0,4.0,
15.0,69.0,84.0
31.0,75.0,106.0
71.0,87.0,
63.0,33.0,96.0
2.0,64.0,66.0
23.0,58.0,81.0
87.0,48.0,135.0
64.0,93.0,157.0
96.0,86.0,
86.0,8.0,
100.0,14.0,114.0
35.0,30.0,
82.0,55.0,137.0
97.0,40.0,
50.0,68.0,
16.0,36.0,52.0
23.0,96.0,119.0
55.0,34.0,
70.0,91.0,161.0
81.0,48.0,
71.0,58.0,
35.0,39.0,
46.0,2.0,
57.0,93.0,150.0
33.0,60.0,
99.0,76.0,
0.0,40.0,40.0
24.0,57.0,81.0
12.0,1.0,13.0
30.0,26.0,
89.0,12.0,
14.0,33.0,47.0
100.0,38.0,
47.0,98.0,
90.0,18.0,108.0
49.0,97.0,
51.0,51.0,102.0
100.0,62.0,
72.0,77.0,
23.0,85.0,108.0
25.0,62.0,87.0
27.0,81.0,
63.0,98.0,
63.0,31.0,94.0
78.0,30.0,108.0
33.0,91.0,
19.0,30.0,
42.0,93.0,135.0
38.0,2.0,
67.0,89.0,
73.0,85.0,
7.0,91.0,98.0
52.0,65.0,117.0
68.0,47.0,115.0
42.0,30.0,
75.0,25.0,
78.0,69.0,147.0
39.0,8.0,
49.0,73.0,122.0
65.0,34.0,99.0
35.0,16.0,51.0
81.0,0.0,
10.0,3.0,
50.0,89.0,
45.0,71.0,
60.0,42.0,102.0
60.0,44.0,
43.0,52.0,95.0
53.0,88.0,
40.0,48.0,
55.0,33.0,88.0
29.0,74.0,103.0
64.0,61.0,
100.0,35.0,135.0
10.0,10.0,
37.0,80.0,117.0
81.0,94.0,
19.0,94.0,113.0
82.0,62.0,144.0
57.0,23.0,
72.0,81.0,153.0
24.0,76.0,
97.0,59.0,
26.0,73.0,
91.0,72.0,
4.0,29.0,
94.0,83.0,177.0
59.0,38.0,97.0
94.0,95.0,189.0
55.0,8.0,63.0
72.0,53.0,125.0
56.0,28.0,84.0
61.0,43.0,104.0
74.0,36.0,110.0
100.0,36.0,
20.0,54.0,
62.0,30.0,92.0
52.0,26.0,
84.0,90.0,
40.0,88.0,
89.0,80.0,169.0
61.0,89.0,150.0
89.0,28.0,
83.0,85.0,168.0
99.0,15.0,
10.0,18.0,
3.0,55.0,
92.0,97.0,
50.0,84.0,134.0
83.0,8.0,
61.0,47.0,
58.0,76.0,
46.0,34.0,80.0
18.0,54.0,
34.0,50.0,84.0
81.0,87.0,168.0
8.0,4.0,
38.0,82.0,
21.0,69.0,90.0
68.0,83.0,
33.0,18.0,
51.0,50.0,101.0
88.0,91.0,
61.0,10.0,71.0
62.0,62.0,124.0
44.0,66.0,
53.0,9.0,62.0
28.0,81.0,
13.0,33.0,
63.0,100.0,163.0
66.0,49.0,115.0
74.0,45.0,119.0
42.0,15.0,57.0
53.0,17.0,70.0
63.0,29.0,92.0
52.0,48.0,
79.0,33.0,
8.0,62.0,
30.0,83.0,
66.0,33.0,99.0
60.0,2.0,
27.0,69.0,96.0
1.0,87.0,88.0
87.0,86.0,
88.0,7.0,95.0
24.0,76.0,100.0
63.0,95.0,158.0
2.0,24.0,
43.0,49.0,92.0
4.0,75.0,79.0
6.0,40.0,
30.0,96.0,126.0
77.0,92.0,
82.0,74.0,
71.0,20.0,91.0
50.0,88.0,
65.0,74.0,
13.0,31.0,44.0
42.0,80.0,122.0
34.0,95.0,129.0
0.0,38.0,38.0
40.0,26.0,
31.0,62.0,93.0
66.0,0.0,66.0
61.0,7.0,
64.0,65.0,129.0
17.0,36.0,53.0
38.0,45.0,
38.0,64.0,
8.0,27.0,35.0
40.0,42.0,82.0
42.0,25.0,
28.0,23.0,
82.0,67.0,149.0
15.0,88.0,
60.0,46.0,
20.0,66.0,
25.0,76.0,101.0
11.0,72.0,83.0
77.0,25.0,102.0
25.0,87.0,112.0
78.0,78.0,
73.0,40.0,113.0
67.0,5.0,
44.0,42.0,
86.0,39.0,
85.0,16.0,
41.0,1.0,42.0
100.0,23.0,
99.0,16.0,
18.0,92.0,
83.0,5.0,
92.0,61.0,
58.0,35.0,
36.0,74.0,
18.0,64.0,82.0
22.0,22.0,44.0
34.0,46.0,80.0
49.0,80.0,129.0
22.0,96.0,118.0
76.0,48.0,124.0
51.0,24.0,75.0
93.0,79.0,
29.0,65.0,
25.0,63.0,88.0
56.0,74.0,
1.0,48.0,49.0
0.0,98.0,
86.0,32.0,
100.0,6.0,106.0
90.0,26.0,
20.0,94.0,
47.0,76.0,123.0
31.0,78.0,109.0
14.0,22.0,36.0
74.0,83.0,157.0
19.0,10.0,
36.0,78.0,
83.0,91.0,174.0
76.0,73.0,
77.0,25.0,
2.0,1.0,
62.0,1.0,63.0
67.0,46.0,113.0
40.0,55.0,95.0
53.0,17.0,70.0
96.0,79.0,175.0
67.0,75.0,
23.0,76.0,
59.0,43.0,102.0
90.0,36.0,126.0
53.0,2.0,55.0
71.0,54.0,125.0
51.0,1.0,52.0
33.0,85.0,
6.0,78.0,
71.0,88.0,
51.0,9.0,60.0
91.0,53.0,
93.0,39.0,
41.0,33.0,74.0
44.0,77.0,
29.0,99.0,
57.0,11.0,68.0
44.0,68.0,
40.0,20.0,60.0
2.0,77.0,
29.0,24.0,
67.0,19.0,
11.0,27.0,38.0
52.0,51.0,103.0
19.0,30.0,
52.0,22.0,74.0
91.0,80.0,
3.0,59.0,62.0
14.0,61.0,
17.0,40.0,
14.0,57.0,
17.0,66.0,
20.0,83.0,
36.0,77.0,
25.0,10.0,
46.0,80.0,
78.0,55.0,133.0
9.0,2.0,11.0
43.0,74.0,
87.0,46.0,
64.0,3.0,
70.0,89.0,
43.0,95.0,138.0
2.0,69.0,71.0
98.0,47.0,145.0
61.0,27.0,
7.0,39.0,46.0
3.0,10.0,13.0
48.0,3.0,
87.0,61.0,
35.0,30.0,
42.0,27.0,69.0
78.0,46.0,124.0
24.0,45.0,
62.0,24.0,86.0
51.0,100.0,151.0
79.0,24.0,
4.0,6.0,10.0
15.0,48.0,63.0
33.0,10.0,43.0
58.0,49.0,
99.0,35.0,
97.0,82.0,179.0
79.0,16.0,95.0
52.0,83.0,
6.0,8.0,14.0
55.0,46.0,101.0
72.0,74.0,
36.0,45.0,81.0
4.0,77.0,
30.0,73.0,
98.0,18.0,116.0
44.0,9.0,53.0
40.0,59.0,
64.0,15.0,79.0
15.0,57.0,72.0
12.0,56.0,
12.0,37.0,
30.0,21.0,
38.0,63.0,
19.0,21.0,40.0
88.0,60.0,148.0
69.0,52.0,121.0
85.0,19.0,
86.0,83.0,
88.0,40.0,128.0
24.0,17.0,41.0
18.0,74.0,
37.0,42.0,79.0
68.0,41.0,
92.0,78.0,
93.0,53.0,
47.0,4.0,51.0
32.0,43.0,
72.0,61.0,133.0
70.0,57.0,
11.0,10.0,21.0
0.0,12.0,
78.0,22.0,
52.0,74.0,
68.0,51.0,
84.0,61.0,
45.0,56.0,101.0
85.0,38.0,123.0
11.0,81.0,
50.0,31.0,81.0
69.0,64.0,
19.0,65.0,84.0
18.0,93.0,111.0
95.0,9.0,104.0
97.0,65.0,
20.0,48.0,68.0
80.0,61.0,141.0
